protocol,attack,repeat,round,loss,accuracy,precision,recall,f1,roc_auc,backdoor_asr,local_training_seconds,crypto_seconds,aggregation_seconds,threshold_decryption_seconds,query_seconds,round_seconds,rss_start_bytes,peak_rss_bytes,peak_rss_delta_bytes,peak_python_bytes,uplink_bytes,downlink_bytes,threshold_bytes,round_communication_bytes,query_absolute_error,aggregate_exact_noise,query_exact_noise,aggregate_representative,query_representative,minimum_p_public,p_public_margin,minimum_q_symbolic,q_symbolic_margin,minimum_q_observed,q_observed_margin
baseline,sign_flip,0,1,0.6061668060412313,0.7162477558348295,0.5916716005525953,0.7330073349633252,0.6547996068581413,0.7970399521406648,,2.8561150489986176,0.0,0.00020658699213527143,0.0,0.0,2.8783031329949154,438009856,438009856,0,137931,1120,1120,0,2240,,,,,,,,,,,
baseline,sign_flip,0,2,0.55266140059466,0.7192998204667863,0.5918717801946194,0.7584352078239609,0.6648805058407459,0.7998690457611541,,2.771286058006808,0.0,0.0002775629982352257,0.0,0.0,2.7941549709939864,438013952,438505472,491520,157917,1120,1120,0,2240,,,,,,,,,,,
baseline,sign_flip,0,3,0.5289136136669659,0.7263913824057451,0.6009298721425804,0.7584352078239609,0.6705577172503242,0.8050612634170872,,2.7169111749826698,0.0,0.00017638900317251682,0.0,0.0,2.7434837159962626,438509568,438509568,0,138326,1120,1120,0,2240,,,,,,,,,,,
baseline,sign_flip,0,4,0.5089317808031394,0.733572710951526,0.6108257605689451,0.7559902200488997,0.6756993006993007,0.8141318385961261,,2.8502243970142445,0.0,0.00019107000844087452,0.0,0.0,2.87150298000779,438513664,438513664,0,273794,1120,1120,0,2240,,,,,,,,,,,
baseline,sign_flip,0,5,0.4991771410354806,0.7326750448833034,0.6063911213164944,0.7748166259168704,0.680334907685702,0.8164331616639788,,2.396326139991288,0.0,0.00017802001093514264,0.0,0.0,2.413487340003485,438513664,438513664,0,136727,1120,1120,0,2240,,,,,,,,,,,
hybrid_pet,sign_flip,0,1,0.606135609077166,0.7156193895870736,0.5914319714399048,0.7290953545232274,0.6530880420499343,0.7970844994711197,,2.585283119988162,0.0756659699982265,0.0017948699969565496,0.02884976999484934,0.4369726199947763,3.148315876998822,438513664,438513664,0,299390,10240,1120,6144,17504,0.0,143.0,18395109552.0,9372583.0,1205560294709436.0,60001.0,5536.0,110097108193813367437,185050796985539468916,2411120589418873.0,295145494058763417480
hybrid_pet,sign_flip,0,2,0.552469263128147,0.7204667863554758,0.5930232558139535,0.7606356968215159,0.666452442159383,0.8001084464790442,,2.926507601994672,0.07916856199153699,0.0016069339908426628,0.02860681498714257,0.8542296740051825,3.9112787649937673,438513664,438513664,0,180753,10240,1120,6144,17504,0.0,131.0,17020820461.0,8593338.0,1115493510552533.0,60001.0,5536.0,110096607131460584461,185051298047892251892,2230987021105067.0,295145674192331731286
hybrid_pet,sign_flip,0,3,0.5289228059231058,0.7262118491921006,0.600814269096549,0.7577017114914425,0.6701989619377162,0.805119388232846,,2.7540230349841295,0.07790242999908514,0.001517997996415943,0.031162013998255134,0.5186317330080783,3.4061686280037975,438517760,438517760,0,165202,10240,1120,6144,17504,6.938893903907228e-18,114.0,12028694063.0,7503305.0,788324522806809.0,60001.0,5536.0,92742505433420790413,202405399745932045940,1576649045613619.0,295146328530307222734
hybrid_pet,sign_flip,0,4,0.5089977956117805,0.7342010771992818,0.6120261956737448,0.7540342298288508,0.6756490305619455,0.814140734189946,,2.8588911999977427,0.07523629801289644,0.001486922992626205,0.029371305005042814,0.4453543929994339,3.435449258002336,438517760,438517760,0,183701,10240,1120,6144,17504,0.0,147.0,27252744098.0,9623669.0,1786063089949602.0,60001.0,5536.0,115858037187627522445,179289867991725313908,3572126179899205.0,295144333053172937148
hybrid_pet,sign_flip,0,5,0.49921795555676335,0.7327648114901256,0.6069575245050932,0.7721271393643032,0.679651350478855,0.8164209714057813,,2.6811425410414813,0.08289927200530656,0.001537685006042011,0.05544113600626588,0.4475327070103958,3.2964780230104225,438517760,438517760,0,173527,10240,1120,6144,17504,3.469446951953614e-18,182.0,7626760567.0,11957404.0,499835007283447.0,60001.0,5536.0,115893726176835246221,179254179002517590132,999670014566895.0,295146905509338269458
baseline,label_flip,0,1,0.4882250417712775,0.734560143626571,0.5955795512063439,0.863080684596577,0.7048018368773086,0.8272844682585098,,2.9417597639840096,0.0,0.0010736569965956733,0.0,0.0,2.999000049007009,438517760,438517760,0,272649,1120,1120,0,2240,,,,,,,,,,,
baseline,label_flip,0,2,0.4873013200194874,0.7361759425493717,0.5982584941096124,0.8567237163814181,0.7045340303609129,0.8273349459848445,,2.6971545070118736,0.0,0.00019406901265028864,0.0,0.0,2.7169457410054747,438521856,438521856,0,152787,1120,1120,0,2240,,,,,,,,,,,
baseline,label_flip,0,3,0.48718143853507734,0.7387791741472173,0.6006825938566553,0.8606356968215159,0.7075376884422111,0.8277014340460211,,2.837010642993846,0.0,0.0003364790027262643,0.0,0.0,2.860213139996631,438525952,438525952,0,269867,1120,1120,0,2240,,,,,,,,,,,
baseline,label_flip,0,4,0.4855220109812875,0.7381508078994614,0.6014530358069539,0.850122249388753,0.7044878938304123,0.8285592259272746,,2.586456664997968,0.0,0.00015723099932074547,0.0,0.0,2.6057759690011153,438595584,438595584,0,136780,1120,1120,0,2240,,,,,,,,,,,
baseline,label_flip,0,5,0.4860703158421405,0.7394973070017953,0.603955197759888,0.8437652811735942,0.7039983680130559,0.8273823891518841,,2.4568886369961547,0.0,0.0001812670088838786,0.0,0.0,2.4743645010021282,438595584,438595584,0,136720,1120,1120,0,2240,,,,,,,,,,,
hybrid_pet,label_flip,0,1,0.48821364904434505,0.7348294434470377,0.5959135427220533,0.862836185819071,0.7049540551338394,0.8272596715739826,,2.471483489003731,0.07969394298561383,0.001460758998291567,0.02806571900146082,0.4253151189914206,3.027408349007601,438595584,438595584,0,168650,10240,1120,6144,17504,0.0,101.0,25198178885.0,6628317.0,1651413049555653.0,60001.0,5536.0,115911800353390429197,179236104825962407156,3302826099111307.0,295144602353253725046
hybrid_pet,label_flip,0,2,0.48728968416553,0.7365350089766607,0.5986336464560205,0.8569682151589242,0.7048768225238814,0.8273394371326016,,2.4550556230096845,0.09034868300659582,0.0013934699964011088,0.02660291999927722,0.46188405000430066,3.0574624089931604,438595584,438595584,0,164415,10240,1120,6144,17504,0.0,149.0,16984189286.0,9767736.0,1113092813247462.0,60001.0,5536.0,110097141218251679629,185050763961101156724,2226185626494925.0,295145678993726341428
hybrid_pet,label_flip,0,3,0.48721964303638177,0.7385996409335727,0.600443383356071,0.860880195599022,0.7074542897327707,0.8276801227695989,,2.4883905600145226,0.07274493000295479,0.0016740900027798489,0.06819804001133889,0.4590502490027575,3.109880065007019,438595584,438595584,0,298435,10240,1120,6144,17504,0.0,131.0,22524574832.0,8602564.0,1476193060758896.0,60001.0,5536.0,115875497239073481357,179272407940279354996,2952386121517793.0,295144952793231318560
hybrid_pet,label_flip,0,4,0.48551156131326617,0.7379712746858169,0.6012100259291271,0.8503667481662591,0.7044050632911393,0.8285793580606565,,2.519510451995302,0.07535910603473894,0.001560704011353664,0.02921473199967295,0.4164765199966496,3.065497037008754,438595584,438595584,0,164164,10240,1120,6144,17504,0.0,127.0,8446103349.0,8297046.0,553532275183397.0,60001.0,5536.0,110114776618278524813,185033128561074311540,1107064550366795.0,295146798114802469558
hybrid_pet,label_flip,0,5,0.48613397266107145,0.7394973070017953,0.6039188243526942,0.8440097799511003,0.704058739547216,0.8273467894362656,,2.8288793319952674,0.08561580600508023,0.001741829008096829,0.02955089500756003,0.43027964800421614,3.3983346829918446,438599680,438681600,81920,297060,10240,1120,6144,17504,0.0,94.0,10265204278.0,6162184.0,672750692734533.0,60001.0,5536.0,104354329312690189581,190793575866662646772,1345501385469067.0,295146559677967367286
baseline,backdoor,0,1,0.4891328232934702,0.7381508078994614,0.6020532451713938,0.8459657701711492,0.7034665040154519,0.8264528256082124,0.6283662477558348,2.5192919240071205,0.0,0.0001938700006576255,0.0,0.0,2.5485264110029675,438681600,438681600,0,144931,1120,1120,0,2240,,,,,,,,,,,
baseline,backdoor,0,2,0.4875120508820621,0.7371633752244166,0.6013961605584642,0.8425427872860636,0.7018329938900204,0.8271630512060205,0.6258527827648115,2.659101803015801,0.0,0.00020662399765569717,0.0,0.0,2.678701512995758,438681600,438681600,0,152800,1120,1120,0,2240,,,,,,,,,,,
baseline,backdoor,0,3,0.4868266929201849,0.7378815080789947,0.604688618468146,0.8261613691931541,0.6982847695804918,0.826002028819643,0.627737881508079,2.571589754996239,0.0,0.0001990189921343699,0.0,0.0,2.5917366439971374,438681600,438681600,0,150030,1120,1120,0,2240,,,,,,,,,,,
baseline,backdoor,0,4,0.4863750574190698,0.7392280071813285,0.6040751800456701,0.8408312958435208,0.7030563221915568,0.8274031802181415,0.6261220825852782,2.4788483930024086,0.0,0.00019575998885557055,0.0,0.0,2.499189263995504,438681600,438820864,139264,135787,1120,1120,0,2240,,,,,,,,,,,
